Name;IP_Address;ObjectCat;DataCre
KSITOB200807;   10.200.99.111  ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
KSITOC200806;   10.201.165.102 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
KSITOA200803;   10.200.98.101  ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
KSITOA200804;   10.200.98.108  ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
ZSITOC200813;   10.200.100.111 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
ZSITOC200816;   10.201.165.103 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
KSITOB200816;   10.200.99.119  ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
ZSITOD200802;   10.201.159.102 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
KSITOF200801;   10.203.253.123 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
ZSITOE200801;   10.203.252.123 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
ZSITOE200802;   10.203.252.125 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
KSITOF200802;   10.203.253.125 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
PDCBCKLAB01;    10.6.24.28     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
PDCPRILAB01;    10.6.23.28     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
KSITOG200807;                  ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
KSITOG200808;                  ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
ZSITOA200802;   10.200.98.112  ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
ZSITOA200852;   10.201.158.116 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
KSITOB200802;   10.200.99.105  ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
ZSITOA200803;   10.201.158.118 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
ZSITOA200806;   10.201.158.120 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
ZSITOD200801;   10.201.159.100 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
ZSITOG200801;   10.6.37.134    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
KSITOG200802;   10.6.37.100    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
PDCBCKLAB02;    10.6.24.21     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
PDCPRILAB03;    10.6.23.37     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
XMSPRILAB06;    10.6.23.24     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
XMSPRILAB07;    10.6.23.23     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
PMSPRILABS1;    10.6.23.31     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
PMSBCKLABS1;    10.6.24.31     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NETMANLAB81;    10.6.24.19     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
USITOB200833;   10.200.99.117  ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
USITOB200834;   10.200.99.118  ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOB200830;   10.200.99.112  ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOB200831;   10.200.99.114  ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
HSITOG200804;   10.6.37.125    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
HSITOG200805;   10.6.37.126    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOG200801;   10.6.37.120    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOG200802;   10.6.37.122    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOC200817;   10.200.100.116 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOC200818;   10.200.100.112 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
USITOC200821;   10.200.100.125 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
USITOC200820;   10.200.100.124 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
GSITOG200801;   10.6.37.132    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
GSITOG200802;   10.6.37.133    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOB200813;   10.200.99.124  ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOB200812;   10.200.99.122  ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
USITOB200815;   10.200.99.103  ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
USITOB200816;   10.200.99.104  ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
USITOA200823;   10.201.158.124 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
USITOA200824;   10.201.158.125 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOA200821;   10.201.158.122 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOA200820;   10.201.158.110 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOA200810;   10.201.158.102 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOA200811;   10.201.158.103 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
USITOD200811;   10.201.159.110 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOD200808;   10.201.159.106 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOG200810;   10.6.37.127    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOG200811;   10.6.37.128    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
USITOG200814;   10.6.37.131    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
GSITOG200803;   10.6.37.143    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
GSITOD200803;   10.201.159.111 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
GSITOF200801;   10.203.253.120 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
USITOD200810;   10.201.159.109 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
GSITOG200806;   10.6.37.118    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOD200807;   10.201.159.104 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
USITOG200813;   10.6.37.130    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOC200809;   10.200.100.106 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOC200808;   10.200.100.105 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
USITOC200812;   10.200.100.109 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
USITOC200811;   10.200.100.108 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
USITOB200833-BI;               ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
PCP_HTTP_3;                    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
XMSPRILAB08;    10.6.23.26     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
ZSITOG200803;   10.6.37.103    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NETMANLAB80;    10.6.23.19     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
XMSPRILAB50;    10.6.23.30     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NETMANLAB82;    10.6.24.35     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
XTSPRILAB01;    10.6.23.21     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOG200816;   10.6.37.138    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
VMSPLABMON80;   10.6.23.103    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
CSITOA200822;   10.201.158.112 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOG200815;   10.6.37.136    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
CSITOG200812;   10.6.37.129    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
CSITOB200832;   10.200.99.116  ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NETMANVIR80;    10.6.23.43     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
CSITOB200814;   10.200.99.102  ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
CSITOD200809;   10.201.159.108 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
CSITOC200810;   10.200.100.107 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
CSITOG200803;   10.6.37.124    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
CSITOC200819;   10.200.100.118 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
ZSITOL201601;   10.6.37.140    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
ZSITOL201602;   10.6.37.141    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
VMSBLABMON80;   10.6.24.103    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
VMSPLABMON90;   10.6.23.40     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
VMSBLABMON90;   10.6.24.40     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
VMSELABMON90;   10.6.24.41     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOL201607;   10.8.84.50     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOL201608;   10.8.84.52     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOL201612;   10.8.90.50     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOL201613;   10.8.90.52     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
VMSELABMON80;   10.6.24.104    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
CSITOL201614;   10.8.90.54     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
ZSITOLLABA01;   10.6.37.150    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
USITOL201616;   10.8.90.56     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
USITOL201615;   10.8.90.55     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
Test;                          ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
CSITOL201609;   10.8.84.54     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
USITOL201610;   10.8.84.55     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
USITOL201611;   10.8.84.56     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
VMSPLABMON70;   10.6.23.106    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
VMSBLABMON70;   10.6.23.107    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
VMSELABMON70;   10.6.24.106    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
GSITOG201601;   10.6.37.157    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
GSITOG201602;   10.6.37.158    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
ZSITOLLABB01;   10.8.84.57     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
ZSITOLLABB02;   10.8.84.59     ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
VMSFLABMON70;   10.6.24.107    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
ZSITOG201601;   10.6.37.156    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOG201607;   10.6.37.160    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOG201608;   10.6.37.162    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
CSITOG201609;   10.6.37.161    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
HSITOG201610;   10.6.37.153    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
HSITOG201611;   10.6.37.155    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
GSITOG201604;   10.6.37.164    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
GSITOG201603;   10.6.37.163    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
ZSITOCSNDA01;   10.200.100.114 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
FSITODSNDA01;   10.201.159.111 ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
ZSITOASNDA01;   10.201.158.98  ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
GSITOG201605;   10.6.37.165    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
GSITOG201606;   10.6.37.166    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOG201602;   10.6.37.110    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
NSITOG201603;   10.6.37.112    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
CSITOG201604;   10.6.37.114    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
HSITOG201605;   10.6.37.115    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
HSITOG201606;   10.6.37.159    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
GSITOG201607;   10.6.37.167    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
GSITOG201608;   10.6.37.168    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
GSITOG201609;   10.6.37.169    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
GSITOG201610;   10.6.37.170    ;CN=Computer-CN=Schema-CN=Configuration-DC=fems-lab-DC=sia-DC=it; 5-ott
; 5-ott
; 5-ott
